@relation baring
@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real

@data
0.09109,-0.13195,-0.10456,-0.10008,0.11873,0.07424,-0.04398,0.08229,0.01935,-0.10011,-0.21710,-0.04985,0.01373,-0.21763,-0.11486,0.00253,-0.07939,-0.02864,-0.33531,-0.57016,-0.13136,2.89881,0.15624,2.82939,2.55751,2.60076,3.00001,0.67437
0.09466,-0.12952,-0.09961,-0.10050,0.11738,0.07257,-0.04352,0.08143,0.01915,-0.10191,-0.21315,-0.05121,0.01211,-0.21500,-0.11437,0.00382,-0.08428,-0.03074,-0.33599,-0.56889,-0.13797,2.95051,0.13476,2.82981,2.58083,2.59809,3.00243,0.67495
0.09230,-0.12921,-0.09900,-0.10170,0.11983,0.07380,-0.04313,0.08069,0.01898,-0.10304,-0.21007,-0.05036,0.01123,-0.21150,-0.11638,0.00457,-0.09296,-0.03393,-0.33586,-0.57170,-0.14413,2.94151,0.13931,2.83255,2.59387,2.58578,2.98872,0.67854
0.09636,-0.12570,-0.09622,-0.10454,0.12108,0.07422,-0.04283,0.08012,0.01884,-0.10079,-0.20843,-0.05468,0.00941,-0.21079,-0.11339,0.00504,-0.09610,-0.03483,-0.33528,-0.57045,-0.14523,2.99954,0.12272,2.83057,2.58392,2.61236,2.99556,0.67743
0.08857,-0.12820,-0.09932,-0.10100,0.12004,0.07415,-0.04263,0.07976,0.01876,-0.10279,-0.20623,-0.05083,0.00953,-0.20865,-0.11441,0.00473,-0.10241,-0.03714,-0.33797,-0.56934,-0.14649,2.91039,0.15081,2.83327,2.58086,2.59018,2.98803,0.67811
0.09162,-0.12667,-0.09639,-0.10008,0.11715,0.07202,-0.04247,0.07946,0.01869,-0.10079,-0.20605,-0.05154,0.00816,-0.20861,-0.11234,0.00487,-0.10118,-0.03698,-0.33865,-0.56681,-0.14321,2.94016,0.13543,2.83181,2.57420,2.60669,2.99773,0.67563
0.09103,-0.12293,-0.10201,-0.10209,0.11909,0.07524,-0.04234,0.07922,0.01863,-0.09900,-0.20590,-0.05088,0.00789,-0.20763,-0.11213,0.00502,-0.10306,-0.03851,-0.33560,-0.57514,-0.14062,2.93386,0.15391,2.82345,2.57273,2.61137,3.00361,0.68058
0.08426,-0.12545,-0.10416,-0.09849,0.11733,0.07436,-0.04225,0.07905,0.01859,-0.09816,-0.20515,-0.05158,0.00702,-0.20749,-0.11022,0.00560,-0.10620,-0.04080,-0.33353,-0.57650,-0.13685,2.88750,0.17738,2.82615,2.57755,2.62134,3.01870,0.67994
0.08312,-0.12651,-0.10227,-0.09766,0.11681,0.07339,-0.04219,0.07894,0.01856,-0.09648,-0.20482,-0.05338,0.00563,-0.20761,-0.10807,0.00417,-0.10717,-0.04080,-0.33530,-0.57449,-0.13507,2.88183,0.17593,2.82941,2.57129,2.63990,3.02484,0.67876
0.08387,-0.12339,-0.10534,-0.09824,0.11656,0.07453,-0.04212,0.07881,0.01853,-0.09742,-0.20370,-0.05178,0.00540,-0.20748,-0.10648,0.00446,-0.08609,-0.02996,-0.33411,-0.55367,-0.11906,2.88838,0.18291,2.82283,2.57678,2.63499,3.00012,0.65754
