@relation botol
@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real

@data
0.10200,-0.14361,-0.10338,-0.19061,0.12494,-0.10469,-0.05463,0.02338,-0.01998,-0.09824,-0.16509,-0.08173,0.19863,-0.04315,-0.15152,0.07150,-0.02954,-0.05808,-0.03253,-0.24847,-0.05283,2.76163,1.02565,2.94672,2.73337,1.57070,2.99922,0.25610
0.09033,-0.15559,-0.11263,-0.20413,-0.04322,-0.13807,-0.05822,0.03848,-0.02035,-0.10148,-0.17186,-0.08839,0.19854,-0.02855,-0.15081,0.06070,-0.03944,-0.05143,-0.01554,-0.08351,-0.01501,2.65596,1.64312,2.36957,2.71331,1.53592,2.79166,0.08626
0.09421,-0.15293,-0.10634,-0.20228,-0.03987,-0.13904,-0.05825,0.03850,-0.02036,-0.10087,-0.17056,-0.08534,0.19699,-0.02469,-0.15091,0.06722,-0.03969,-0.05706,-0.01345,-0.08174,-0.01584,2.72760,1.60598,2.37915,2.71387,1.51908,2.81416,0.08434
0.09339,-0.15007,-0.10494,-0.20224,-0.03835,-0.13698,-0.05828,0.03852,-0.02037,-0.10107,-0.16976,-0.08470,0.19519,-0.02419,-0.15124,0.06506,-0.00806,-0.04546,-0.01689,-0.05083,-0.00459,2.74343,1.59526,2.38635,2.72016,1.51804,3.09237,0.05376
0.10023,-0.14656,-0.09499,-0.20182,-0.03393,-0.13690,-0.05830,0.03853,-0.02038,-0.10279,-0.17285,-0.08949,0.19631,-0.02056,-0.14834,0.06544,-0.00685,-0.04448,-0.01449,-0.05244,-0.00717,2.84813,1.52539,2.40267,2.71592,1.50912,3.09155,0.05487
0.09763,-0.14633,-0.09653,-0.20560,-0.03955,-0.12641,-0.05826,0.03851,-0.02037,-0.10134,-0.17065,-0.08727,0.19430,-0.02171,-0.14925,0.06477,-0.00724,-0.04477,-0.01537,-0.04877,-0.01629,2.81517,1.52834,2.39263,2.71267,1.51526,3.09150,0.05366
0.09395,-0.15115,-0.10428,-0.19942,-0.04047,-0.13522,-0.05825,0.03850,-0.02036,-0.10086,-0.16932,-0.08781,0.19392,-0.02438,-0.14789,0.07113,-0.03557,-0.05943,-0.01612,-0.07951,-0.02010,2.73263,1.60019,2.37605,2.72891,1.52456,2.87132,0.08358
0.09656,-0.14987,-0.10363,-0.20552,-0.04192,-0.12241,-0.05824,0.03849,-0.02036,-0.09809,-0.17021,-0.08735,0.19283,-0.02482,-0.14816,0.07170,-0.03396,-0.05951,-0.00992,-0.08009,-0.03333,2.75052,1.55328,2.38550,2.71690,1.53752,2.89107,0.08732
0.09329,-0.15262,-0.10748,-0.19922,-0.04039,-0.13317,-0.05829,0.03852,-0.02038,-0.09919,-0.16694,-0.08754,0.19320,-0.02681,-0.14631,0.07386,-0.03335,-0.05968,-0.01469,-0.07971,-0.01881,2.71089,1.60813,2.37753,2.73192,1.53458,2.91196,0.08321
0.09320,-0.15379,-0.11110,-0.19980,-0.04266,-0.13057,-0.05835,0.03857,-0.02040,-0.10069,-0.16654,-0.08472,0.19218,-0.02714,-0.14702,0.07634,-0.03465,-0.06111,-0.01522,-0.07925,-0.02060,2.68849,1.61855,2.37116,2.74117,1.52484,2.91178,0.08328
