@relation gesture

@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real
@attribute name {bentuk,hai,alquran,hormat,wadah,hamba,ketua,gang}

@data
0.12016,0.05936,-0.12780,-0.11144,0.11448,0.04268,-0.03924,0.04896,0.03748,-0.08420,-0.13784,-0.12316,0.17916,-0.03420,-0.08432,0.09628,0.00764,-0.01340,-0.10236,-0.38476,-0.22284,2.04166,1.14725,2.85649,2.75273,1.61214,2.77484,0.46537,alquran
0.13848,0.04140,-0.10816,-0.13160,0.10412,0.02984,-0.04024,0.03864,0.02092,-0.08376,-0.12948,-0.11684,0.19908,-0.02652,-0.09024,0.06312,-0.00400,-0.01948,-0.11136,-0.36780,-0.21792,2.29421,0.96544,3.00883,2.77579,1.54390,2.89360,0.45303,alquran
0.12852,0.06076,-0.11724,-0.14548,0.11512,0.07036,-0.04516,0.04172,0.03180,-0.10216,-0.14544,-0.12228,0.19416,-0.01536,-0.11884,0.06508,0.00544,-0.03612,-0.10452,-0.39316,-0.28480,2.20336,0.96965,3.07185,2.80507,1.54240,3.00239,0.50531,alquran
0.14848,0.07424,-0.09180,-0.14380,0.10208,0.05156,-0.04280,0.03932,0.02652,-0.12336,-0.14092,-0.09780,0.15900,-0.03520,-0.14636,0.06908,0.00848,-0.03600,-0.14688,-0.40416,-0.27508,2.17954,0.98269,2.90786,2.98024,1.61189,2.77792,0.52069,alquran
0.13072,0.06568,-0.10684,-0.13740,0.10556,0.05452,-0.05452,0.03456,0.04652,-0.10776,-0.14232,-0.10904,0.18340,-0.02684,-0.11700,0.06384,-0.00560,-0.03064,-0.12336,-0.39468,-0.27324,2.14376,1.01181,2.81612,2.83614,1.54262,3.07298,0.50507,alquran
0.13888,0.07460,-0.11256,-0.13312,0.10288,0.03700,-0.04248,0.03188,0.02392,-0.11388,-0.14164,-0.09724,0.19092,-0.02940,-0.12808,0.06248,-0.00468,-0.03148,-0.14736,-0.38960,-0.23904,2.05570,1.08533,2.94751,2.88593,1.50555,3.00277,0.49055,alquran
0.13240,0.06312,-0.11588,-0.12564,0.09508,0.04132,-0.03940,0.04068,0.02352,-0.09440,-0.14932,-0.12868,0.20660,-0.02028,-0.10880,0.07712,-0.00064,-0.01604,-0.09100,-0.37132,-0.25104,2.09921,1.01828,2.98269,2.78999,1.55355,2.90057,0.46623,alquran
0.12800,0.06932,-0.10920,-0.12808,0.09432,0.04184,-0.04100,0.05224,0.02340,-0.09736,-0.14100,-0.11380,0.19320,-0.02324,-0.11220,0.06424,0.00020,-0.03236,-0.11744,-0.40272,-0.25760,2.12331,1.04624,2.85593,2.84361,1.54777,3.03368,0.50143,alquran
0.13180,0.06212,-0.12304,-0.12524,0.10676,0.03704,-0.04028,0.04308,0.02880,-0.10448,-0.15172,-0.09604,0.20668,-0.03240,-0.11392,0.07224,-0.00744,-0.02968,-0.11780,-0.40844,-0.22208,2.06698,1.08963,2.92862,2.81352,1.48868,3.08599,0.48854,alquran
0.13332,0.06416,-0.11648,-0.15388,0.12540,0.08172,-0.04796,0.04516,0.03560,-0.10904,-0.13984,-0.08996,0.19500,-0.02344,-0.13008,0.07648,-0.00564,-0.03520,-0.08560,-0.41924,-0.28148,2.15152,0.96965,3.07757,2.92024,1.47535,3.04728,0.52124,alquran
